דפוס,סוג דפוס ,יצירה,קוד יצירה,place, year,digital editions,NLI-ID,NLI-Scanned text,Sefaria JSON Name,Sefaria JSON - LINK
"פירוש לקח טוב (פסיקתא זוטרתא) על מגילת רות, מהד' י' במברגר, מגנצא תרמ""ז.",מהדורה ביקורתית,לקח טוב - פסיקתא זוטרתא,לא נמצא,Mainz,1887,,,,,
"ספרי דאגדתא על מגילת אסתר… מדרש לקח טוב, מהד' ש' בובר, וילנה תרמ""ז.",מהדורה ביקורתית,לקח טוב - פסיקתא זוטרתא,לא נמצא,Vilna,1887,,,,,
"פרוש לקח טוב על מגילת איכה, מהד' י' נאכט, ברלין תרנ""ה.",מהדורה ביקורתית,לקח טוב - פסיקתא זוטרתא,לא נמצא,Berlin,1895,,,,,
"פירוש לקח טוב על מגילת קהלת, מהד' י' פיינברג, ברלין תרס""ד.",מהדורה ביקורתית,לקח טוב - פסיקתא זוטרתא,לא נמצא,Berlin,1904,,,,,
"פירוש לקח טוב על מגילת איכה, מהד' א' גרינהוף, לונדון 1908.",מהדורה ביקורתית,לקח טוב - פסיקתא זוטרתא,לא נמצא,London,1908,,,,,
"פרוש לקח טוב על מגילת שיר השירים, מהד' א' גרינהוף, לונדון 1909.",מהדורה ביקורתית,לקח טוב - פסיקתא זוטרתא,לא נמצא,London,1909,,,,,
"מדרש לקח טוב המכונה פסיקתא זוטרתא, ירושלים תשס""ז.",,לקח טוב - פסיקתא זוטרתא,לא נמצא,Jerusalem,2007,,,,,
"מדרש שכל טוב על ספר בראשית ושמות, מהד' ש' בובר, ברלין תר""ס.",כפולה,ילקוט שכל טוב,לא נמצא,Berlin,1900,,,,,
"ילקוט שמעוני על התורה ועם קונטרס אחרון ועל נביאים וכתובים, סלוניקי רפ""א, רפ""ו, רפ""ז (דפוס צילום ירושלים תשכ""ח, תשל""ג)",דפוס חשוב,ילקוט שמעוני,1:1:1.0,Jerusalem,1972,,,,,
"ילקוט שמעוני, ונציה שכ""ו",דפוס חשוב,ילקוט שמעוני,1:1:1.0,Venice,1566,,,,,
