Midrash_MSS ID,קבוצת תעדוף,תעדוף MiDRASH,מספר מערכת,הערות לתעתוק MiDRASH,כינוי כתב היד בכתיב,חיבורים - טור זמני,הערות חיבורים,הערות,זמינות תעתוק,מקור תעתוק,הערה לזמינות תעתוק,הערה עיונית,קישור לכתב היד בספריית המקור,לטיפול במחקר משלים צדקני
44,מדרשי רבה,1,990001802430205171,,"מוכר ספרים, ירושלים",ויקרא רבה,,"כך רשום בכתיב, לא ברור היקפו ומהותו של כתב יד זה",,,,,,
45,מדרשי רבה,1,990001380500205171,,"ספריית האוניברסיטה יוהן קרישטין סנקנברג, פרנקפורט דמיין, Ms. Oct. 133",שיר השירים רבה,,"בכתיב נרשמו תחת מספר מדף זה, בנוסף ל 6 חיבורים המנויים ברשומת ה'קובץ' גם קטעי גניזה ואחרים, דורש בירור. ",,,,,,
46,מדרשי רבה,1,990001002220205171,,"ספריית מדינת בווריה, מינכן, Cod.hebr. 50",שיר השירים רבה,,,,,,,,
47,מדרשי רבה,1,990000880400205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, אוקספורד, Ms. Arch. Seld. Superius 102","שיר השירים רבה, רות רבה, איכה רבה, אסתר רבה, קהלת רבה, ילקוט שמעוני","שמעוני לכתובים (מנדל, דיסרטציה)","מתוך כתיב: עם הערות בשוליים למדרש שיה""ש (עד פרק ד)",,Bodleian Library MS. Selden Super. 102,,,https://digital.bodleian.ox.ac.uk/objects/3116f846-2f96-4e0d-83da-ae5d0da8b0b0/,
48,מדרשי רבה,1,990000726780205171,,"ספריית פלטינה, פרמה, Cod. Parm. 2342","רות רבה, שיר השירים זוטא, קהלת זוטא, איכה זוטא, רות זוטא, סדר עולם זוטא, אלפא ביתא דבן סירא, תנא דבי אליהו זוטא, דרך ארץ זוטא","קובץ עם הרבה כ""י",בשכטר קטלגו 1542  -טעות סופר. בקובץ גם מדרש זוטא (רות ואיכה),,,,,,
49,מדרשי רבה,1,990001387550205171,,"ספריית אוניברסיטת קמברידג', קמברידג', Ms. Add. 495","איכה רבה, אסתר רבה, רות רבה, מדרשים קטנים - לפני בירור","כולל בסופו גם מדרש 'פטירת משה ז""ל'",,,,,,,
50,מדרשי רבה,1,990000933730205171,,"ספריית הוטיקן, Ms. ebr. 291","קהלת רבה, אסתר רבה","נזכר אצל בית אריה, דוקטורט - יש להשלים את רשימת החיבורים בו","סופרים שונים מתחלפים שעשו מלאכתם יחד (בית אריה, דוקטורט)",,,,,,
51,מדרשי רבה,,990001099920205171,,,"קהלת רבה, מדרש תהלים",,,,,,,,
52,מדרשי רבה,,,,,,,,,,,,,
53,מדרשי רבה,1,990000789450205171,,"ספריית המדינה של רוסיה, מוסקבה, Ms. Guenzburg 936",קהלת רבה,,,,,,,,
54,מדרשי רבה,1,990001300010205171,,"הספרייה הלאומית של צרפת, פריס, Ms. hebr. 821","קהלת רבה, אותיות דרבי עקיבא",,בקובץ ספר הבהיר ועוד חיבורים קבליים,,,,,,
